Accessory, profile, scale, transformX,transformY
assassin-cap,business,
assassin-cap,punk,
assassin-cap,miss,
astro-suit,business,0.86,60,30
astro-suit,punk,0.8,100,150
astro-suit,miss,0.8,100,180
devil-jacket,business,
devil-jacket,punk,
devil-jacket,miss,
helicap-tshirt,
helicap-tshirt,
helicap-tshirt,
lab-coat,business,
lab-coat,punk,
lab-coat,miss,
magic-cap,business,1.2,-80,-220
magic-cap,punk,
magic-cap,miss,
shinobi-suit,business,
shinobi-suit,punk,
shinobi-suit,miss,
street-jacket,business,
street-jacket,punk,
street-jacket,miss,
super-suit,business,
super-suit,punk,
super-suit,miss
yakuza-suit,business,
yakuza-suit,miss,
yakuza-suit,punk,
